dataset,binvar,bin,model,model_auroc,comp_auroc,n,n_pos
TraitGym-complex,abs_dGC,0,GPN-MSA,0.5753882121992991,0.5164427700888099,2850,271
TraitGym-complex,abs_dGC,0,Evo2-7B,0.5109728162035401,0.5164427700888099,2850,271
TraitGym-complex,abs_dGC,0,Evo2-40B,0.527362646639262,0.5164427700888099,2850,271
TraitGym-complex,abs_dGC,0,NT-2.5B,0.5090233492486146,0.5164427700888099,2850,271
TraitGym-complex,abs_dGC,0,Caduceus,0.5185489098008467,0.5164427700888099,2850,271
TraitGym-complex,abs_dGC,0,CADD,0.5814176094455787,0.5164427700888099,2850,271
TraitGym-complex,abs_dGC,0,phyloP,0.5560902778473307,0.5164427700888099,2850,271
TraitGym-complex,abs_dGC,1,GPN-MSA,0.5678265147778189,0.5247249712253874,2850,306
TraitGym-complex,abs_dGC,1,Evo2-7B,0.503082994203971,0.5247249712253874,2850,306
TraitGym-complex,abs_dGC,1,Evo2-40B,0.5014342345953056,0.5247249712253874,2850,306
TraitGym-complex,abs_dGC,1,NT-2.5B,0.5199797293131089,0.5247249712253874,2850,306
TraitGym-complex,abs_dGC,1,Caduceus,0.5182795864677108,0.5247249712253874,2850,306
TraitGym-complex,abs_dGC,1,CADD,0.6276969776380152,0.5247249712253874,2850,306
TraitGym-complex,abs_dGC,1,phyloP,0.5879314907304641,0.5247249712253874,2850,306
TraitGym-complex,abs_dGC,2,GPN-MSA,0.6145154385438447,0.5229971051439788,2850,283
TraitGym-complex,abs_dGC,2,Evo2-7B,0.5052067488825966,0.5229971051439788,2850,283
TraitGym-complex,abs_dGC,2,Evo2-40B,0.5178123808435691,0.5229971051439788,2850,283
TraitGym-complex,abs_dGC,2,NT-2.5B,0.5229798984391454,0.5229971051439788,2850,283
TraitGym-complex,abs_dGC,2,Caduceus,0.5135843493318981,0.5229971051439788,2850,283
TraitGym-complex,abs_dGC,2,CADD,0.6150027324247276,0.5229971051439788,2850,283
TraitGym-complex,abs_dGC,2,phyloP,0.5706700015554861,0.5229971051439788,2850,283
