dataset,model,confounder,n,rho_signedLLR,rho_absLLR,partial_rho_absLLR,matched
TraitGym-mendelian,phastCons,flank_gc_w51,3380,0.009300049152127236,0.009300049152127236,-0.0049724549979778855,True
TraitGym-complex,GPN-MSA,mu_5mer,11400,0.2274832227708638,-0.19615652510415174,-0.19709940439235063,True
TraitGym-complex,GPN-MSA,cpg_ref,11400,0.3402919766542449,-0.15035381946878493,-0.15266773745341447,True
TraitGym-complex,GPN-MSA,dGC_w51,11400,0.09552522719578402,-0.09319555600209285,-0.09327003723749039,True
TraitGym-complex,GPN-MSA,dkmer3_w51,11400,0.028296509891840294,-0.0053196733215895705,-0.006106651968532214,True
TraitGym-complex,GPN-MSA,flank_gc_w51,11400,0.05672696332818417,-0.10950198159820632,-0.12060607275673238,True
TraitGym-complex,Evo2-7B,mu_5mer,11400,0.21097405552255655,-0.048465789657729574,-0.04824193496450265,True
TraitGym-complex,Evo2-7B,cpg_ref,11400,0.3539782441866508,0.05300979643471879,0.053969863849284185,True
TraitGym-complex,Evo2-7B,dGC_w51,11400,0.05991085826407188,-0.04982511288728031,-0.04990546290252168,True
TraitGym-complex,Evo2-7B,dkmer3_w51,11400,-0.006263262076212312,0.08396833952378038,0.08437948452174955,True
TraitGym-complex,Evo2-7B,flank_gc_w51,11400,0.01305639683214136,-0.007262652814631862,-0.002787864745236279,True
TraitGym-complex,Evo2-40B,mu_5mer,11400,0.19964187264242148,-0.08301725153718188,-0.0831058288741329,True
TraitGym-complex,Evo2-40B,cpg_ref,11400,0.32331687215330984,0.0348564426436766,0.034573657130487136,True
TraitGym-complex,Evo2-40B,dGC_w51,11400,0.05396147084388305,-0.06095954261693608,-0.060943966832256447,True
TraitGym-complex,Evo2-40B,dkmer3_w51,11400,0.0023214553720021197,0.06251333635893988,0.06240054457642965,True
TraitGym-complex,Evo2-40B,flank_gc_w51,11400,-0.02598712274495353,0.046980091417978924,0.04600221245909543,True
TraitGym-complex,NT-2.5B,mu_5mer,11400,0.2600888027361595,0.03486291293977838,0.035263813493581896,True
TraitGym-complex,NT-2.5B,cpg_ref,11400,0.43365805253532896,0.13411257092382586,0.13564755058661834,True
TraitGym-complex,NT-2.5B,dGC_w51,11400,0.053088643622760376,0.007663222159444849,0.007587161212609555,True
TraitGym-complex,NT-2.5B,dkmer3_w51,11400,0.0012268163083981334,0.1240260156762515,0.12469777444794153,True
TraitGym-complex,NT-2.5B,flank_gc_w51,11400,0.017774198887877582,-0.018137582275244847,-0.011656556055688268,True
TraitGym-complex,Caduceus,mu_5mer,11400,0.24778402201253816,0.011275903130154022,0.011747855380804488,True
TraitGym-complex,Caduceus,cpg_ref,11400,0.42085931491598155,0.10801734308429353,0.10990267185108363,True
TraitGym-complex,Caduceus,dGC_w51,11400,0.05932721909688348,0.0036014275157476693,0.0035027254768596654,True
TraitGym-complex,Caduceus,dkmer3_w51,11400,-0.0011376733712142718,0.09654119218351079,0.09736858096951867,True
TraitGym-complex,Caduceus,flank_gc_w51,11400,0.015369020906290878,0.0028741538674172825,0.011252786273781536,True
TraitGym-complex,HyenaDNA,mu_5mer,11400,0.10397371275631213,-0.036345954369948655,-0.03630319628729041,True
TraitGym-complex,HyenaDNA,cpg_ref,11400,0.1669592061030761,-0.013102084354454018,-0.012944555928036849,True
TraitGym-complex,HyenaDNA,dGC_w51,11400,0.03413375500251134,-0.04049017291081372,-0.040501079300964006,True
TraitGym-complex,HyenaDNA,dkmer3_w51,11400,0.011154351423240836,0.016579955910097897,0.016647040769688322,True
TraitGym-complex,HyenaDNA,flank_gc_w51,11400,-0.0023686981986125724,0.01131039176314918,0.012253546338060979,True
TraitGym-complex,SpeciesLM,mu_5mer,11400,0.26334877558091474,0.02613472952014183,0.026521275163514404,True
TraitGym-complex,SpeciesLM,cpg_ref,11400,0.4400485978852036,0.13419386356133894,0.13570862473477668,True
TraitGym-complex,SpeciesLM,dGC_w51,11400,0.06158793348486481,0.008449282376511522,0.008374860458890455,True
TraitGym-complex,SpeciesLM,dkmer3_w51,11400,-0.002257356055494816,0.10675667384035253,0.10740028746376945,True
TraitGym-complex,SpeciesLM,flank_gc_w51,11400,0.012403160443452497,0.02635882441101851,0.03329236509337755,True
TraitGym-complex,GPN,mu_5mer,11400,0.27161161303661235,0.14835456554287813,0.1482871719906394,True
TraitGym-complex,GPN,cpg_ref,11400,0.4682904328917856,0.2629068878917362,0.26274476664659174,True
TraitGym-complex,GPN,dGC_w51,11400,0.057367481403608124,0.07070642179750522,0.0707281652280819,True
TraitGym-complex,GPN,dkmer3_w51,11400,0.0005504516895154294,0.12930657364631146,0.1292049414814318,True
TraitGym-complex,GPN,flank_gc_w51,11400,-0.02686884495191285,0.13588476985184708,0.13593690674759606,True
TraitGym-complex,CADD,mu_5mer,11400,-0.1039312203287437,-0.017192250576279326,-0.01773821588425999,True
TraitGym-complex,CADD,cpg_ref,11400,-0.12111091877482155,-0.028859178786109194,-0.030808530045755157,True
TraitGym-complex,CADD,dGC_w51,11400,-0.005634753118520846,0.01317770170688709,0.013321350284121368,True
TraitGym-complex,CADD,dkmer3_w51,11400,-0.012231034850502738,-0.012248716480232527,-0.013028155898082958,True
TraitGym-complex,CADD,flank_gc_w51,11400,0.01502171033572355,0.030429979554913347,0.02143127369066996,True
TraitGym-complex,phyloP-100v,mu_5mer,11400,-0.13700689344625594,0.06184097847522006,0.061701450718027566,True
TraitGym-complex,phyloP-100v,cpg_ref,11400,-0.1829458584864528,0.09482797088793828,0.09432653976720659,True
TraitGym-complex,phyloP-100v,dGC_w51,11400,-0.046910592141584516,0.02319895430726377,0.02323812617507006,True
TraitGym-complex,phyloP-100v,dkmer3_w51,11400,-0.03139292619929426,0.016638688830172305,0.016417902389505207,True
TraitGym-complex,phyloP-100v,flank_gc_w51,11400,-0.12289936214870462,0.09690257316812596,0.09519065724071195,True
TraitGym-complex,phastCons,mu_5mer,11400,-0.14070586013508238,-0.14070586013508238,-0.1409670087382307,True
TraitGym-complex,phastCons,cpg_ref,11400,-0.189168226209074,-0.189168226209074,-0.19008591368462313,True
TraitGym-complex,phastCons,dGC_w51,11400,-0.03822762653380586,-0.03822762653380586,-0.03819225523200474,True
TraitGym-complex,phastCons,dkmer3_w51,11400,-0.0148765509843877,-0.0148765509843877,-0.015191797136254091,True
TraitGym-complex,phastCons,flank_gc_w51,11400,-0.10176555954816831,-0.10176555954816831,-0.10677840557476577,True
GLRB-eQTL,GPN-MSA,mu_5mer,8850,0.1943327258491165,-0.09136299562845616,,True
GLRB-eQTL,GPN-MSA,cpg_ref,8850,0.294697039092324,-0.050619906928565835,,True
GLRB-eQTL,GPN-MSA,dGC_w51,8850,0.07287118272986351,-0.06257934997572814,,True
GLRB-eQTL,GPN-MSA,dkmer3_w51,8850,0.00713640209888837,-0.042226939636937126,,True
GLRB-eQTL,GPN-MSA,flank_gc_w51,8850,-0.0672520992330341,-0.00807812188097966,,True
